1,335,390,2950,"66 FORD FAIRLANE GT","THIS NEW CAR HAS A STICKER PRICE OF $3266","EQUIPMENT INCLUDES VINYL ROOF AND 390 ENGINE WITH 4-SPEED",3533,2.15,5.8,4,2.39,1.79,1.33,1,3.56,"FORD",7,66,""
2,360,396,3025,"66 CHEVELLE SS396 HARDTOP","THE STICKER PRICE ON THIS NEW CAR IS $3255","OPTIONS INCLUDE 360 HP ENGINE WITH 4-SPEED AND AM/FM STEREO WITH 8-TRACK",3410,2.15,6.2,4,2.56,1.91,1.48,1,3.31,"CHEV",7,66,""
3,271,289,3200,"66 MUSTANG GT","THE STICKER PRICE OF THIS NEW CAR IS $3456","EQUIPMENT INCLUDES HIGH PERFORMANCE 289 WITH 4-SPEED AND GT EQUIPMENT",2736,2.15,5.6,4,2.39,1.79,1.33,1,4.11,"FORD",7,66,""
4,350,400,3340,"66 OLDS 4-4-2 HARDTOP","STICKER PRICE OF THIS NEW CAR IS $3663","THIS OLDS HAS A 400 CID ENGINE AND 4-SPEED",3546,2.15,5.9,4,2.56,1.91,1.53,1,3.36,"PONT",7,66,""
5,365,440,3050,"66 PLYMOUTH SATELLITE HDTP","THE STICKER PRICE OF THIS NEW CAR IS $3256","THIS CAR HAS 440-CID ENGINE WITH 4-SPEED",3445,2.15,6.2,4,2.44,1.75,1.35,1,3.23,"MOPAR",7,66,""
6,390,427,3300,"66 CHEVY IMPALA SS HDTP","THIS NEW CAR HAS A STICKER PRICE OF $3610","THIS CAR HAS A 427 CID ENGINE AND 4-SPEED",3740,2.15,6.2,4,2.2,1.66,1.31,1,4.11,"CHEV",7,66,""
7,350,327,3300,"66 NOVA SS HDTP","OPTIONS INCLUDE 350 HP 327 ENGINE AND 4-SPEED","ONLY ABOUT 200 NOVAS WERE EQUIPPED WITH THE 350 HP ENGINE - STICKER IS $3378",3138,2.15,5.8,4,2.56,1.91,1.48,1,3.31,"CHEV",7,66,""
8,325,400,3195,"66 BUICK SKYLARK GS","THE STICKER PRICE OF THIS NEW CAR IS $3417","INCLUDES 4-SPEED AND AM/FM/8-TRACK - 401 ENGINE IS STANDARD",3453,2.15,6.2,4,2.56,1.91,1.48,1,3.36,"BUICK",7,66,""
9,140,235,500,"57 CHEVY BELAIR HARDTOP","FACTORY 6-CYLINDER STICK - ALL ORIGINAL","THE 68K MILES COULD WELL BE ORIGINAL - NO RUST AND INTERIOR IS NICE",3283,2.15,5.5,3,0,2.94,1.68,1,3.55,"CHEV",7,57,""
9,140,235,399,"56 CHEVY '150' SEDAN","STILL HAS ORIGINAL ENGINE AND TRANSMISSION","PLAIN JANE - ALL IN BLACK",3164,2.23,5.8,3,0,2.94,1.66,1,3.73,"CHEV",4,56,""

