1,335,348,1995,"60 CHEVY IMPALA HARDTOP","TRI-POWER ENGINE AND FACTORY 4-SPEED","THERE IS NO DOUBT THIS CAR HAS BEEN RUN HARD BUT IT LOOKS & SOUNDS GOOD",3695,2.15,5.8,4,2.2,1.66,1.33,1,3.55,"CHEV",7,60,""
2,330,383,1999,"60 PLYMOUTH FURY HARDTOP","HAS 383 ENGINE AND TORQUEFLITE TRANSMISSION","LOOKS TO BE IN GOOD SHAPE BUT YOU KNOW IT'S BEEN RUN HARD",3690,2.15,5.6,3,0,2.68,1.49,1,3.54,"MOPAR",7,60,""
3,360,352,1898,"60 FORD FAIRLANE SEDAN","HAS SPECIAL 'INTERCEPTOR' ENGINE AND STANDARD TRANSMISSION","THIS MAY HAVE BEEN A POLICE CAR - LOOKS MEAN NOW",3667,2.15,5.6,3,0,2.66,1.5,1,3.56,"FORD",4,60,""
4,348,389,2295,"60 PONTIAC CATALINA HDTP","HAS TRI-POWER ENGINE AND RARE FACTORY 4-SPEED","LOOKS AND RUNS GOOD BUT MAY NEED A NEW CLUTCH SOON",3850,2.15,5.7,4,2.2,1.66,1.31,1,4.11,"PONT",7,60,""
5,295,361,900,"56 PLYMOUTH HARDTOP","THE ORIGINAL V8 HAS BEEN REPLACED WITH A LATER 361 ENGINE","LOOKS LIKE A CLEAN CONVERSION AND SEEMS TO RUN GOOD",3395,2.25,6.2,3,0,2.59,1.49,1,3.73,"MOPAR",7,56,""
6,300,364,850,"56 CHEVY '150' SEDAN","SOMEONE WENT TO THE TROUBLE OF CONVERTING TO BUICK POWER","HAS A CLEAN BODY-BUT WHAT IS SO WRONG THAT HE SOLD IT HERE?",3284,2.23,5.8,3,0,2.94,1.66,1,3.73,"BUICK",5,56,""
7,250,283,1399,"57 CHEVY BELAIR HARDTOP","ORIGINAL HYDRAULIC LIFTER FUEL INJECTION ENGINE","ORIGINALLY POWERGLIDE NOW A 4-SPEED",3297,2.15,5.5,4,2.2,1.66,1.31,1,3.36,"CHEV",9,57,""
8,312,371,1300,"51 FORD VICTORIA HARDTOP","HAS '57 OLDS 'J2' ENGINE WITH HYDRAULIC CLUTCH AND 4-SPEED","ORIGINALLY A FLATHEAD V8 WITH FORDOMATIC",3312,2.23,5.4,4,2.2,1.66,1.31,1,3.31,"OLDS",7,51,""
9,270,341,750,"54 DESOTO SPORTSMAN HDTP","HAS FACTORY STICK AND 57 FIREDOME ENGINE","SEEMS TO BE IN GOOD SHAPE - BODY HAS BEEN KEPT NICE",3775,2.23,5.4,3,0,2.59,1.49,1,3.73,"MOPAR",7,54,""
10,140,235,649,"57 CHEVY '150' SEDAN","STOCK-AS-A-ROCK STICK 6 -- DECENT BODY AND INTERIOR","ENGINE SMOKES A LITTLE NOW - ONLY OPTION IS DELUXE HEATER",3216,2.15,5.5,3,0,2.94,1.68,1,3.55,"CHEV",4,56,""
11,300,352,1999,"60 FORD GALAXIE HARDTOP","HAS INTERCEPTOR SPECIAL V8 AND STANDARD TRANSMISSION","LOOKS AND RUNS GOOD",3702,2.15,5.6,3,0,2.66,1.5,1,3.56,"FORD",7,60,""
12,310,374,1495,"56 STUDEBAKER GOLDEN HAWK","THIS CAR HAS THE PACKARD 'CARRIBEAN' ENGINE AND WAS CONVERTED FROM AUTOMATIC","IT HAS AN EARLIER PACKARD 3-SPEED AND STUDEBAKER REAR AXLE ASSEMBLY",3360,2.23,5.5,3,0,2.06,1.27,1,4.56,"PKRD",7,56,""
15,280,348,1799,"60 CHEVY BELAIR HDTP","HAS 348 ENGINE AND FACTORY 4-SPEED","LOOKS LIKE ITS BEEN CARED FOR",3690,2.15,5.7,4,2.2,1.66,1.33,1,3.55,"CHEV",7,60,""
16,230,283,1395,"59 IMPALA HARDTOP","HAS 4-BBL V8 AND FACTORY STICK","APPEARS TO HAVE BEEN WELL CARED FOR",3580,2.18,5.6,3,0,2.47,1.53,1,3.55,"CHEV",7,59,""
17,205,265,500,"56 CHEV B/A 4-DR HDTP","POWERPACK OPTION - POWERGLIDE CHANGED OVER TO 3-SPEED FLOOR SHIFT","RUNS GOOD, IS SOLID AND LOOKS NICE - 80xxx MILES MAY BE CORRECT",3260,2.23,5.5,3,0,2.94,1.68,1,3.55,"CHEV",6,56,""
18,220,283,899,"57 CHEV B/A 4-DR SEDAN","HAS POWERPACK V8 AND POWERGLIDE TRANSMISSION","STILL LOOKS GOOD AND SEEMS TO RUN OK",3452,2.15,5.5,2,0,2.94,1.88,1,3.36,"CHEV",4,57,""

